c_eps,regime,method,Gamma,X,pi_treat_avg
1.0,uncap,DoublyRobust-O-W,2,-0.6667,0.0
1.0,uncap,DoublyRobust-O-W,2,-0.3333,0.5215
1.0,uncap,DoublyRobust-O-W,2,0.0,1.0
1.0,uncap,DoublyRobust-O-W,2,0.3333,1.0
1.0,uncap,DoublyRobust-O-W,2,0.6667,1.0
1.0,uncap,DoublyRobust-O-W,2,1.0,1.0
1.0,uncap,DoublyRobust-O-W,2.5,-1.0,0.0
1.0,uncap,DoublyRobust-O-W,2.5,-0.6667,0.0
1.0,uncap,DoublyRobust-O-W,2.5,-0.3333,0.1897
1.0,uncap,DoublyRobust-O-W,2.5,0.0,0.9802
1.0,uncap,DoublyRobust-O-W,2.5,0.3333,1.0
1.0,uncap,DoublyRobust-O-W,2.5,0.6667,1.0
1.0,uncap,DoublyRobust-O-W,2.5,1.0,0.9156
1.0,uncap,DoublyRobust-O-W,3,-1.0,0.0
1.0,uncap,DoublyRobust-O-W,3,-0.6667,0.0
1.0,uncap,DoublyRobust-O-W,3,-0.3333,0.1428
1.0,uncap,DoublyRobust-O-W,3,0.0,0.9522
1.0,uncap,DoublyRobust-O-W,3,0.3333,1.0
1.0,uncap,DoublyRobust-O-W,3,0.6667,1.0
