dataset,N_train,seeds,c_eps,regime,method,Gamma,mean_EY,sd_EY
"X3(-1,0,1)",200,8,1.5,cap,Direct-X-X,2.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,cap,Direct-X-X,2.5,0.0,0.0
"X3(-1,0,1)",200,8,1.5,cap,Direct-X-X,3.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,cap,Direct-X-X,4.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,cap,Direct-X-X,5.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,cap,Direct-X-X,6.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,cap,Direct-X-X,8.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,cap,IPW-O-X,1.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.5,cap,IPW-O-X,1.5,0.4043,0.0779
"X3(-1,0,1)",200,8,1.5,cap,IPW-O-X,2.0,0.3078,0.1897
"X3(-1,0,1)",200,8,1.5,cap,IPW-O-X,2.5,0.0413,0.1094
"X3(-1,0,1)",200,8,1.5,cap,IPW-O-X,3.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,cap,IPW-O-X,4.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,cap,IPW-O-X,5.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,cap,IPW-O-X,6.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,cap,IPW-O-X,8.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,cap,DoublyRobust-O-X,1.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.5,cap,DoublyRobust-O-X,1.5,0.3778,0.0605
"X3(-1,0,1)",200,8,1.5,cap,DoublyRobust-O-X,2.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.5,cap,DoublyRobust-O-X,2.5,0.3778,0.0605
"X3(-1,0,1)",200,8,1.5,cap,DoublyRobust-O-X,3.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.5,cap,DoublyRobust-O-X,4.0,0.4441,0.1569
"X3(-1,0,1)",200,8,1.5,cap,DoublyRobust-O-X,5.0,0.5785,0.2014
"X3(-1,0,1)",200,8,1.5,cap,DoublyRobust-O-X,6.0,0.6352,0.2027
"X3(-1,0,1)",200,8,1.5,cap,DoublyRobust-O-X,8.0,0.7889,0.097
